 ,,,
File Name : SM-Group-2,,,
Record No.  1,,,
Date :24/08/2022,,,
 ,,,
Load Vs Displacement Test Data,,,
 ,,,
Disp. mm,Load kN,Time Sec.,Stress
 ,,,
61.2,121.26,105.578,
61.3,120.9,105.639,
61.4,120.09,105.758,
61.5,119.67,105.819,
61.6,119.1,105.898,
61.7,117.96,106.037,
61.8,117.09,106.137,
61.9,116.31,106.218,
62,115.47,106.297,
62.1,114.75,106.357,
62.2,113.64,106.438,
